validation_loss_step/epoch_0,step,training_loss,epoch,validation_loss_epoch
0.3886140286922455,0,,,
0.39185455441474915,1,,,
,9,0.49124693870544434,0,
,19,0.24331365525722504,0,
,29,0.18948940932750702,0,
,39,0.16029606759548187,0,
,49,0.1391032189130783,0,
,59,0.1333894431591034,0,
,69,0.11817339062690735,0,
,79,0.11035468429327011,0,
,89,0.0986204668879509,0,
,99,0.0874120369553566,0,
,109,0.07802595943212509,0,
,119,0.07108083367347717,0,
,129,0.06638018786907196,0,
,139,0.061346374452114105,0,
,149,0.05765637755393982,0,
,159,0.05617476627230644,0,
,169,0.04931263625621796,0,
,179,0.04904532432556152,0,
,189,0.043892718851566315,0,
,199,0.044534917920827866,0,
,209,0.03891466185450554,0,
,219,0.04304366931319237,0,
,229,0.0457492358982563,0,
,239,0.037109941244125366,0,
,249,0.03278770297765732,0,
,259,0.03525828570127487,0,
,269,0.03783275559544563,0,
,279,0.03595007583498955,0,
,289,0.03577614948153496,0,
,299,0.03302360698580742,0,
,309,0.03125002607703209,0,
,319,0.03312576562166214,0,
,329,0.027501944452524185,0,
,339,0.028812328353524208,0,
,349,0.031130684539675713,0,
,359,0.03477475792169571,0,
,369,0.02981005609035492,0,
,379,0.03246809169650078,0,
,389,0.028046779334545135,0,
,399,0.030615100637078285,0,
,409,0.02809520624577999,0,
,419,0.02538813091814518,0,
,429,0.029176659882068634,0,
,439,0.025434475392103195,0,
,449,0.02471725270152092,0,
,459,0.02852783352136612,0,
,469,0.02192743308842182,0,
,479,0.02746756188571453,0,
,489,0.02174975350499153,0,
,499,0.025475481525063515,0,
,509,0.02385825477540493,0,
,519,0.025906728580594063,0,
,529,0.02063094824552536,0,
,539,0.022635377943515778,0,
,549,0.0206634309142828,0,
,559,0.024234749376773834,0,
,569,0.022539928555488586,0,
,579,0.022703763097524643,0,
,589,0.021114008501172066,0,
,599,0.026028838008642197,0,
,609,0.026267439126968384,0,
,619,0.020790910348296165,0,
,629,0.023848921060562134,0,
,639,0.021628040820360184,0,
,649,0.02194000594317913,0,
,659,0.023980189114809036,0,
,669,0.024516679346561432,0,
,679,0.02588922344148159,0,
,689,0.02141674794256687,0,
,699,0.030296556651592255,0,
,709,0.021649831905961037,0,
,719,0.022755630314350128,0,
,729,0.02317867986857891,0,
,739,0.024281546473503113,0,
,749,0.02114757150411606,0,
,759,0.02105058543384075,0,
,769,0.021122582256793976,0,
,779,0.01898256130516529,0,
,789,0.01955350488424301,0,
,799,0.02169361151754856,0,
,809,0.024922411888837814,0,
,819,0.022507717832922935,0,
,829,0.021862786263227463,0,
,839,0.01830047369003296,0,
,849,0.02043551579117775,0,
,859,0.02168973535299301,0,
,869,0.020446090027689934,0,
,879,0.019094685092568398,0,
,889,0.03724121302366257,0,
,899,0.023365141823887825,0,
,909,0.022689299657940865,0,
,919,0.02281292900443077,0,
,929,0.022083688527345657,0,
,939,0.024114172905683517,0,
,949,0.024962613359093666,0,
,959,0.021524125710129738,0,
,969,0.020044708624482155,0,
,979,0.01763877458870411,0,
,989,0.020437948405742645,0,
,999,0.021092237904667854,0,
,1009,0.020318901166319847,0,
,1019,0.027813829481601715,0,
,1029,0.01978111080825329,0,
,1039,0.01876271888613701,0,
,1049,0.018410928547382355,0,
,1059,0.021803226321935654,0,
,1069,0.017680402845144272,0,
,1079,0.019818680360913277,0,
,1089,0.01921420358121395,0,
,1099,0.02637731283903122,0,
,1109,0.021997276693582535,0,
,1119,0.019823119044303894,0,
,1129,0.022903339937329292,0,
,1139,0.021627604961395264,0,
,1149,0.01963956467807293,0,
,1159,0.02127044089138508,0,
,1169,0.02205345779657364,0,
,1179,0.01960412971675396,0,
,1189,0.01876463182270527,0,
,1199,0.0196620374917984,0,
,1209,0.01917404681444168,0,
,1219,0.021631570532917976,0,
,1229,0.019780900329351425,0,
,1239,0.0204875897616148,0,
,1249,0.0193406343460083,0,
,1259,0.02223890833556652,0,
,1269,0.020185329020023346,0,
,1279,0.01852024719119072,0,
,1289,0.01926591992378235,0,
